Year,Link,Abstract
2017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963535610&doi=10.1111%2fjrh.12183&partnerID=40&md5=36c6ed72b9d133006f9baae84aeb524b","Purpose: To evaluate the impact of the Affordable Care Act's (ACA) dependent coverage mandate on insurance coverage among young adults in metropolitan and nonmetropolitan areas. Methods: A cross-sectional analysis was conducted using data from 2006-2009 and 2011 waves of the Medical Expenditure Panel Survey. A difference-in-difference analysis was used to compare changes in full-year private health insurance coverage among young adults aged 19-25 years with an older cohort aged 27-34 years. Separate regressions were estimated for individuals in metropolitan and nonmetropolitan areas and were tested for a differential impact by area of residence. Findings: Full-year private health insurance coverage significantly increased by 9.2 percentage points for young adults compared to the older cohort after the ACA mandate (P =.00). When stratifying the regression model by residence area, insurance coverage among young adults significantly increased by 9.0 percentage points in metropolitan areas (P =.00) and 10.1 percentage points in nonmetropolitan areas (P =.03). These changes were not significantly different from each other (P =.82), which suggests the ACA mandate's effects were not statistically different by area of residence. Conclusions: Although young adults in metropolitan and nonmetropolitan areas experienced increased access to private health insurance following the ACA's dependent coverage mandate, it did not appear to directly impact rural-urban disparities in health insurance coverage. Despite residents in both areas gaining insurance coverage, over one-third of young adults still lacked access to full-year health insurance coverage. © 2016 National Rural Health Association"
2017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85001837281&doi=10.1002%2fpam.21952&partnerID=40&md5=8fd53c781184700258eac25e605a769b","The expansion of Medicaid to low-income nondisabled adults is a key component of the Affordable Care Act's strategy to increase health insurance coverage, but many states have chosen not to take up the expansion. As a result, for many low-income adults, there has been stark variation across states in access to Medicaid since the expansions took effect in 2014. This study investigates whether individuals migrate in order to gain access to these benefits. Using an empirical model in the spirit of a difference-in-differences, this study finds that migration from non-expansion states to expansion states did not increase in 2014 relative to migration in the reverse direction. The estimates are sufficiently precise to rule out a migration effect that would meaningfully affect the number of enrollees in expansion states, which suggests that Medicaid expansion decisions do not impose a meaningful fiscal externality on other states. © 2016 by the Association for Public Policy Analysis and Management"
2017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997795014&doi=10.1002%2fpam.21961&partnerID=40&md5=3d092e1b3932e3996c4daf8558c9e62e","The Affordable Care Act (ACA) aimed to achieve nearly universal health insurance coverage in the United States through a combination of insurance market reforms, mandates, subsidies, health insurance exchanges, and Medicaid expansions, most of which took effect in 2014. This paper estimates the causal effects of the ACA on health insurance coverage in 2014 using data from the American Community Survey. We utilize difference-in-difference-in-differences models that exploit cross-sectional variation in the intensity of treatment arising from state participation in the Medicaid expansion and local area pre-ACA uninsured rates. This strategy allows us to identify the effects of the ACA in both Medicaid expansion and non-expansion states. Our preferred specification suggests that, at the average pre-treatment uninsured rate, the full ACA increased the proportion of residents with insurance by 5.9 percentage points compared to 2.8 percentage points in states that did not expand Medicaid. Private insurance expansions from the ACA were due to increases in both employer-provided and non-group coverage. The coverage gains from the full ACA were largest for those without a college degree, non-whites, young adults, unmarried individuals, and those without children in the home. We find no evidence that the Medicaid expansion crowded out private coverage. © 2016 by the Association for Public Policy Analysis and Management"
2017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014661409&doi=10.1186%2fs40352-017-0047-0&partnerID=40&md5=ef3f5f64f2fb3fd3d0c1d16812fea80f","Though the full implications of a Trump presidency for ongoing health care and criminal justice reform efforts remain uncertain, whatever policy changes are made will be particularly salient for the South, which experiences the highest incarceration rates, highest uninsured rates, and worst health outcomes in the United States. The passage of the Affordable Care Act (ACA) in 2010 was a watershed event and many states have taken advantage of opportunities created by the ACA to expand healthcare coverage to their poorest residents, and to develop partnerships between health and justice systems. Yet to date, only four have taken advantage of the benefits of healthcare reform. Expanding Medicaid would provide Southern states with the opportunity to significantly impact health outcomes for criminal justice-involved individuals. In the context of an uncertain policy landscape, we suggest the use of three strategies, focusing on advancing incremental change while safeguarding existing gains, rebranding Medicaid as a local or statewide initiative, and linking Medicaid expansion to criminal justice reform, in order to implement Medicaid expansion across the South. © 2017, The Author(s)."
2017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013304861&doi=10.1016%2fj.addbeh.2017.02.007&partnerID=40&md5=cda748feacfe8e1f3421f5f7303c7482","Objective Given the high prevalence of smoking among substance use disorder (SUD) patients, the specialty SUD treatment system is an important target for adoption and implementation of tobacco cessation (TC) services. While research has addressed the impact of tobacco control on individual tobacco consumption, largely overlooked in the literature is the potential impact of state tobacco control policies on availability of services for tobacco cessation. This paper examines the association between state tobacco control policy and availability of TC services in SUD treatment programs in the United States. Methods State tobacco control and state demographic data (n = 51) were merged with treatment program data from the 2012 National Survey of Substance Abuse Treatment Services (n = 10.413) to examine availability of TC screening, counseling and pharmacotherapy services in SUD treatment programs using multivariate logistic regression models clustered at the state-level. Results Approximately 60% of SUD treatment programs offered TC screening services, 41% offered TC counseling services and 26% offered TC pharmacotherapy services. Results of multivariate logistic regression showed the odds of offering TC services were greater for SUD treatment programs located in states with higher cigarette excise taxes and greater spending on tobacco prevention and control. Conclusions Findings indicate cigarette excise taxes and recommended funding levels may be effective policy tools for increasing access to TC services in SUD treatment programs. Coupled with changes to insurance coverage for TC under the Affordable Care Act, state tobacco control policy tools may further reduce tobacco use in the United States. © 2017"
2017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013188327&doi=10.1016%2fj.ypmed.2017.01.018&partnerID=40&md5=177d4c828b08774187d200a8b0b372e8","There is relatively little research on access to the health care needed by children whose mothers have been incarcerated, and even fewer studies of how effects of lack of access continue and cumulate as these children transition from living with parents, parent surrogates, or foster care into adulthood. We find in a nationally representative U.S. panel study (n = 9418 participants from 1995 to 2007–2008 in the National Longitudinal Study of Adolescent and Adult Health) that young adult children of incarcerated mothers are less likely to receive the health care they need. These effects hold in models that take into account covariates and receipt of health care in the past, a useful control for unmeasured heterogeneity. In this analysis for 2007–2008, economic marginality mediates maternal incarceration on young adult unmet health care needs. Health insurance mediates a smaller portion of this effect. The findings of this research provide important bench marks for assessing the effects of the 2010 passage and the 2013 implementation of the Affordable Care Act [ACA], as well as prospective efforts to change or repeal the ACA. © 2017"
2017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016482060&doi=10.1016%2fj.socscimed.2017.03.055&partnerID=40&md5=bff2229ba23d1f200f3665e6a15e958e","This article takes a genealogical and ethnographic approach to the problem of choice, arguing that what choice means has been reworked several times since health insurance first figured prominently in national debates about health reform. Whereas voluntary choice of doctor and hospital used to be framed as an American right, contemporary choice rhetoric includes consumer choice of insurance plan. Understanding who has deployed choice rhetoric and to what ends helps explain how offering choices has become the common sense justification for defending and preserving the exclusionary health care system in the United States. Four case studies derived from 180 enrollment observations at the Rhode Island health insurance exchange conducted from March 2014–January 2017 and interviews with enrollees show how choice is experienced in this latest iteration of health reform. The Affordable Care Act (ACA) of 2010 created new pathways to insurance coverage in the United States. Insurance exchanges were supposed to unleash the power of consumer decision-making through marketplaces where health plans compete on quality, coverage, and price. Consumers, however, contended with confusing insurance terminology and difficult to navigate websites. The ethnography shows that consumers experienced choice as confusing and overwhelming and did not feel “in charge” of their decisions. Instead, unstable employment, changes in income, existing health needs, and bureaucratic barriers shaped their “choices.” © 2017 Elsevier Ltd"
2017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015709788&doi=10.1016%2fj.jhealeco.2017.02.004&partnerID=40&md5=3b3490096fd91d8c689b553dcd2756f5","Using premium subsidies for private coverage, an individual mandate, and Medicaid expansion, the Affordable Care Act (ACA) has increased insurance coverage. We provide the first comprehensive assessment of these provisions’ effects, using the 2012–2015 American Community Survey and a triple-difference estimation strategy that exploits variation by income, geography, and time. Overall, our model explains 60% of the coverage gains in 2014–2015. We find that coverage was moderately responsive to price subsidies, with larger gains in state-based insurance exchanges than the federal exchange. The individual mandate's exemptions and penalties had little impact on coverage rates. The law increased Medicaid among individuals gaining eligibility under the ACA and among previously-eligible populations (“woodwork effect”) even in non-expansion states, with no resulting reductions in private insurance. Overall, exchange premium subsidies produced 40% of the coverage gains explained by our ACA policy measures, and Medicaid the other 60%, of which 1/2 occurred among previously-eligible individuals. © 2017 Elsevier B.V."
2017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994772044&doi=10.1007%2fs11999-016-5156-x&partnerID=40&md5=83665d267917426f40bffa601d8c8403","Background: Readmissions after total joint arthroplasty have become a key quality measure in elective surgery in the United States. The Affordable Care Act includes the Hospital Readmission Reduction Program, which calls for reduced payments to hospitals with excessive readmissions. This policy uses a method to determine excess readmission ratios and calculate readmission payment adjustments to hospitals, however, it is unclear whether readmission rates are an effective quality metric. The reasons or conditions associated with readmission after elective THA have been well established but the extent to which readmissions can be prevented after THA remains unclear. Questions/purposes: (1) Are unplanned readmissions after THA associated with orthopaedic or medical causes? (2) Are these readmissions preventable? (3) When during the course of aftercare are orthopaedic versus medical readmissions more likely to occur? Methods: We retrospectively evaluated all 1096 elective THAs for osteoarthritis performed between January 1, 2011 and June 30, 2014 at a major academic medical center. Of those, 69 patients (6%) who met inclusion criteria were readmitted in our healthcare system within 90 days of discharge after the index procedure during the study period. Fifty patients were readmitted within 30 days of discharge after the index procedure (5%). We defined a readmission as any unplanned inpatient or observation status admission to the hospital spanning at least one midnight. A panel of physicians not involved in the care of these patients used available criteria and existing consensus guidelines to evaluate the medical records, radiographs, and operative reports to identify whether the underlying reason for readmission was orthopaedic versus medical. They subsequently were classified as either nonpreventable or potentially preventable readmissions, based on any care that may have occurred during the index hospitalization. To make such determinations, consensus specialty society guidelines were used whenever possible for each readmission diagnosis. Results: A total of 50 of 1096 patients (5% of those who underwent THA during the period in question) were readmitted within 30 days and 69 of 1096 (6%) were readmitted within 90 days of their index procedures. Thirty-one patients were readmitted for orthopaedic reasons (31/69; 45%) and 38 of 69 were readmitted for medical reasons (55%). Three readmissions (three of 69; 4%) were identified as potentially preventable. Of these potentially preventable readmissions, one was orthopaedic (hip dislocation) and two were medical. Thirty-day readmissions were more likely to be orthopaedic than 90-day readmissions (odds ratio, 4.06; 95% CI, 1.18–13.96; p = 0.026). Conclusions: Using a panel of expert reviewers, available existing criteria, and consensus methodology, it appears only a small percentage of readmissions after THA are potentially preventable. Orthopaedic readmissions occur earlier during the postoperative course. Currently, existing policies and readmission penalties may not serve as valuable external quality metrics. The readmission rates in our study may represent the threshold for expected readmission rates after THA. Future studies should enroll larger numbers of patients and have independent review panels in efforts to refine criteria for what constitutes preventable readmissions. Level of Evidence: Level III, therapeutic study. © 2016, The Association of Bone and Joint Surgeons®."
2017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017243143&doi=10.1016%2fS0140-6736%2817%2930786-9&partnerID=40&md5=63786c3fd580ec34a53fbf8ff02e1d2f","Inequalities in medical care are endemic in the USA. The Affordable Care Act (ACA), passed in 2010 and fully implemented in 2014, was intended to expand coverage and bring about a new era of health-care access. In this review, we evaluate the legislation's impact on health-care equity. We consider the law's coverage expansion, insurance market reforms, cost and affordability provisions, and delivery-system reforms. Although the ACA improved coverage and access—particularly for poorer Americans, women, and minorities—its overall impact was modest in comparison with the gaps present before the law's implementation. Today, 29 million people in the USA remain uninsured, and substantial inequalities in access along economic, gender, and racial lines persist. Although most Americans agree that further reform is needed, the proper direction for reform—especially following the 2016 presidential election—is highly contentious. We discuss proposals for change from opposite sides of the political spectrum, together with their potential impact on health equity. © 2017 Elsevier Ltd"
