State,Uninsured,Public,Private,Year,Expansion_year,Expansion,other_source,,
Alabama,10.8,30.2,61.5,2015,None,0,0,,
Alaska,17.1,22.5,63.7,2015,None,0,0,,
Arizona,13.2,31.6,55.6,2015,2014,1,0,,
Arkansas,14,27.6,60.5,2015,2014,1,0,,
California,9.1,30.2,61.5,2015,2014,1,0,,
Colorado,6.7,21.8,72,2015,2014,1,0,,
Connecticut,5.7,25.5,69.9,2015,2014,1,0,,
Delaware,6.3,25.2,70.7,2015,2014,1,0,,
DC,4,24.9,71.7,2015,2014,1,0,,
Florida,15.3,25.1,60.8,2015,None,0,0,,
Georgia,12.6,23.3,65.3,2015,None,0,0,,
Hawaii,4.7,26.9,69.1,2015,2014,1,0,,
Idaho,14.3,25.7,61.4,2015,None,0,0,,
Illinois,7.9,23.5,69.8,2015,2014,1,0,,
Indiana,11.8,21.6,68.2,2015,2015,1,0,,
Iowa,5.9,19.3,75.9,2015,2014,1,0,,
Kansas,9.8,17.3,74.4,2015,None,0,0,,
Kentucky,6.8,39.7,55.1,2015,2014,1,0,,
Louisiana,11.7,26.4,63.6,2015,None,0,0,,
Maine,10.8,28.5,61.3,2015,None,0,0,,
Maryland,8,25.9,67.1,2015,2014,1,0,,
Massachusetts,2.9,25.3,72.6,2015,2014,1,0,,
Michigan,8.1,29.3,65.4,2015,2014,1,0,,
Minnesota,5,13.2,83.2,2015,2014,1,0,,
Mississippi,13.1,30.5,58.3,2015,None,0,0,,
Missouri,10.8,18,72.8,2015,None,0,0,,
Montana,12.1,28.6,60.6,2015,None,0,0,,
Nebraska,14.1,15.8,71.3,2015,None,0,0,,
Nevada,13.6,27.9,60.5,2015,2014,1,0,,
New Hampshire,6.2,21.8,73.8,2015,2015,1,0,,
New Jersey,8.1,17.4,75.9,2015,2014,1,0,,
New Mexico,12.5,43.8,46.1,2015,2014,1,0,,
New York,5.7,29,66.9,2015,2014,1,0,,
North Carolina,15.6,26.5,59.7,2015,None,0,0,,
North Dakota,8.3,11.4,81.7,2015,2014,1,0,,
Ohio,7.6,29.6,64.1,2015,2014,1,0,,
Oklahoma,17.4,25.5,58.4,2015,None,0,0,,
Oregon,9.7,28.5,63.3,2015,2014,1,0,,
Pennsylvania,9.6,22.3,70.1,2015,2015,1,0,,
Rhode Island,5.2,22.4,75.2,2015,2014,1,0,,
South Carolina,16,26.5,61.2,2015,None,0,0,,
South Dakota,9.4,24.2,68.2,2015,None,0,0,,
Tennessee,9.9,27,64.8,2015,None,0,0,,
Texas,18.8,19.8,62.5,2015,None,0,0,,
Utah,9.5,15.9,75.7,2015,None,0,0,,
Vermont,3.3,24.3,73.7,2015,2014,1,0,,
Virginia,9.6,22.5,70.5,2015,None,0,0,,
Washington,9.3,26.7,66.4,2015,2014,1,0,,
West Virgina,7.1,40,55.9,2015,2014,1,0,,
Wisconsin,4.4,24.1,74,2015,None,0,0,,
Wyoming,13,27.3,62.2,2015,None,0,0,,
Alabama,11.8,28,63.4,2014,None,0,0,,
Alaska,21.2,22.2,58.6,2014,None,0,0,,
Arizona,16.9,28.7,55.9,2014,2014,1,0,,
Arkansas,12.7,25.9,62.7,2014,2014,1,0,,
California,13.4,26.8,60.6,2014,2014,1,0,,
Colorado,10.7,18.4,71.8,2014,2014,1,0,,
Connecticut,8,25.6,67.2,2014,2014,1,0,,
Delaware,5.4,25.7,70.6,2014,2014,1,0,,
DC,3.3,32.4,64.7,2014,2014,1,0,,
Florida,18.8,26,55.9,2014,None,0,0,,
Georgia,16.1,24.7,59.8,2014,None,0,0,,
Hawaii,2.5,26.1,72.8,2014,2014,1,0,,
Idaho,15.2,19.7,66.6,2014,None,0,0,,
Illinois,12,24.3,65.5,2014,2014,1,0,,
Indiana,13.8,22.9,64.5,2014,2015,1,0,,
Iowa,6.4,18.8,76.4,2014,2014,1,0,,
Kansas,10.8,19.5,71.8,2014,None,0,0,,
Kentucky,12.5,36,53.3,2014,2014,1,0,,
Louisiana,15.2,27.5,58.4,2014,None,0,0,,
Maine,13.8,24.2,63.9,2014,None,0,0,,
Maryland,9.3,24.8,67.3,2014,2014,1,0,,
Massachusetts,3.2,25.8,72.2,2014,2014,1,0,,
Michigan,9.3,25,67.5,2014,2014,1,0,,
Minnesota,6.5,18.6,76.7,2014,2014,1,0,,
Mississippi,18,26.2,57.9,2014,None,0,0,,
Missouri,14.2,20,67.2,2014,None,0,0,,
Montana,14.6,24.9,63.5,2014,None,0,0,,
Nebraska,12.8,20.8,67.6,2014,None,0,0,,
Nevada,17.6,21.3,63.1,2014,2014,1,0,,
New Hampshire,9.5,14.9,76.9,2014,2015,1,0,,
New Jersey,10.8,15.8,74.4,2014,2014,1,0,,
New Mexico,14,37.4,50.5,2014,2014,1,0,,
New York,11,30.3,60,2014,2014,1,0,,
North Carolina,17.3,28.2,56.2,2014,None,0,0,,
North Dakota,7.3,10.6,84.1,2014,2014,1,0,,
Ohio,8.9,26.3,66.6,2014,2014,1,0,,
Oklahoma,21.5,28.3,52,2014,None,0,0,,
Oregon,10.7,28.5,62.3,2014,2014,1,0,,
Pennsylvania,9.5,21,70.8,2014,2015,1,0,,
Rhode Island,7.4,22.1,73.1,2014,2014,1,0,,
South Carolina,17.1,29.3,54.4,2014,None,0,0,,
South Dakota,10.4,17.9,72.7,2014,None,0,0,,
Tennessee,12.5,27.3,62.1,2014,None,0,0,,
Texas,21.5,20.4,59,2014,None,0,0,,
Utah,14.4,13.2,74.6,2014,None,0,0,,
Vermont,9.8,25.6,65.3,2014,2014,1,0,,
Virginia,12.5,20.7,68.3,2014,None,0,0,,
Washington,10.9,23.3,67.3,2014,2014,1,0,,
West Virgina,9,33.4,59.9,2014,2014,1,0,,
Wisconsin,7.5,20.4,74.7,2014,None,0,0,,
Wyoming,11.9,13.5,76.3,2014,None,0,0,,
Alabama,13,25.6,64.4,2013,None,0,0,,
Alaska,18.5,,,2013,None,0,1,,
Arizona,21.1,25.3,54.6,2013,2014,0,0,,
Arkansas,21.2,28.6,51.4,2013,2014,0,0,,
California,19.1,24.8,57,2013,2014,0,0,,
Colorado,14.7,22.1,64.4,2013,2014,0,0,,
Connecticut,10.5,24.2,65.7,2013,2014,0,0,,
Delaware,10.7,25.6,65.7,2013,2014,0,0,,
DC,3.8,27.2,69.5,2013,2014,0,0,,
Florida,24.7,24.5,51.3,2013,None,0,0,,
Georgia,22.5,24.1,54,2013,None,0,0,,
Hawaii,6.7,,,2013,2014,0,1,,
Idaho,19.4,17.1,64.9,2013,None,0,0,,
Illinois,14.2,20.6,66.5,2013,2014,0,0,,
Indiana,14.6,22.7,65.1,2013,2015,0,0,,
Iowa,8.5,21.6,72.2,2013,2014,0,0,,
Kansas,14.8,18.9,67.8,2013,None,0,0,,
Kentucky,18.8,28.1,56.2,2013,2014,0,0,,
Louisiana,14.8,29.2,58.1,2013,None,0,0,,
Maine,12.6,24.7,63.8,2013,None,0,0,,
Maryland,13.4,24.2,63.6,2013,2014,0,0,,
Massachusetts,5.2,28.2,67.9,2013,2014,0,0,,
Michigan,12.7,20,69.3,2013,2014,0,0,,
Minnesota,8.1,18.2,74.7,2013,2014,0,0,,
Mississippi,19.6,30.6,50.9,2013,None,0,0,,
Missouri,17.2,19.8,65.2,2013,None,0,0,,
Montana,16.5,,,2013,None,0,1,,
Nebraska,15.1,16.4,70.8,2013,None,0,0,,
Nevada,24.8,20.1,55.5,2013,2014,0,0,,
New Hampshire,12.6,16.4,71.6,2013,2015,0,0,,
New Jersey,13.8,18,69.4,2013,2014,0,0,,
New Mexico,18.6,,,2013,2014,0,1,,
New York,11,29.9,60.3,2013,2014,0,0,,
North Carolina,19.9,24,56.8,2013,None,0,0,,
North Dakota,10.4,,,2013,2014,0,1,,
Ohio,13.4,24.8,63.6,2013,2014,0,0,,
Oklahoma,23.3,28.5,50.6,2013,None,0,0,,
Oregon,17.1,18.2,66,2013,2014,0,0,,
Pennsylvania,13.5,20.3,68.2,2013,2015,0,0,,
Rhode Island,10.7,27.7,64.4,2013,2014,0,0,,
South Carolina,19.1,31.6,50.8,2013,None,0,0,,
South Dakota,11.3,,,2013,None,0,1,,
Tennessee,11.9,29.9,60.5,2013,None,0,0,,
Texas,22.8,22.6,55.4,2013,None,0,0,,
Utah,16.5,12.8,71.8,2013,None,0,0,,
Vermont,7.2,,,2013,2014,0,1,,
Virginia,13.3,22,66.5,2013,None,0,0,,
Washington,18.3,23,60.4,2013,2014,0,0,,
West Virgina,23.8,31.5,46.9,2013,2014,0,0,,
Wisconsin,9.4,21.3,70.5,2013,None,0,0,,
Wyoming,13.4,,,2013,None,0,1,,
